"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age Groups","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
861,"NCT01728324","Phase 3 Study of BI 207127 in Combination With Faldaprevir and Ribavirin for Treatment of Patients With Hepatitis C Infection, Including Patients Who Are Not Eligible to Receive Peginterferon: HCVerso2","Completed","No Results Available","Hepatitis C, Chronic","Drug: BI 207127-placebo: 8-week treatment|Drug: Ribavirin: 24-week treatment|Drug: BI 207127: 24-week treatment|Drug: Faldaprevir: 24-week treatment|Drug: Faldaprevir: 24-week treatment|Drug: Ribavirin-placebo: 8-week treatment|Drug: BI 207127: 24-week treatment|Drug: Faldaprevir-placebo: 8-week treatment|Drug: Faldaprevir: 16-week treatment|Drug: Ribavirin: 16-week treatment|Drug: RBV: 24-week treatment|Drug: BI 207127: 16-week treatment","Boehringer Ingelheim","Both","Adult|Senior","Phase 3","496","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double-Blind","1241.36|2012-003535-27","November 2, 2012","November 2012","January 2015","February 4, 2015","February 2015","No Study Results Posted","null","January 2015","Sustained Virologic Response (SVR) at Week 12 post-treatment (SVR12)|SVR4|SVR24","https://ClinicalTrials.gov/show/NCT01728324"
862,"NCT02463331","Association of Chloroquine and Prednisone as an Alternative Treatment for Autoimmune Hepatitis","Active, not recruiting","No Results Available","Autoimmune Hepatitis","Drug: Chloroquine diphosphate|Drug: prednisone|Drug: azathioprine","University of Sao Paulo General Hospital","Both","Adult|Senior","Phase 4","57","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","0571/04","May 18, 2015","May 2003","July 2015","June 1, 2015","May 2015","No Study Results Posted","null","December 2014","Biochemical response to therapy|Histopathological response to therapy","https://ClinicalTrials.gov/show/NCT02463331"
863,"NCT00312858","Concomitant Use of Hepatitis A Vaccine With Measles, Mumps, Rubella and Varicella Vaccine and Pneumococcal 7-Valent Conjugate Vaccine in Healthy 12-Month-Old Children (V251-067)","Completed","Has Results","Hepatitis A Virus","Biological: Comparator: VAQTA™ (Hepatitis A vaccine)|Biological: Comparator: ProQuad™ (Measles, Mumps, Rubella and Varicella vaccine)|Biological: Comparator: Prevnar™ (Pneumococcal 7-Valent Conjugate vaccine)","Merck Sharp & Dohme Corp.","Both","Child","Phase 4","653","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label","V251-067|2005_075","April 7, 2006","April 2006","March 2008","October 29, 2015","October 2015","March 24, 2009","null","March 2008","Antibody Response to Hepatitis A - Participants With a Serological Response|Antibody Response to Varicella - Participants With a Serological Response|Antibody Response to Streptococcus Pneumoniae - Geometric Mean Titers|Participants With 1 or More Systemic Adverse Experience|Participants With 1 or More Systemic Adverse Experience.|Participants With 1 or More Injection-site Adverse Experience|Participants With Elevated Temperature (≥102.2F/ ≥39.0C)|Participants With 1 or More Serious Vaccine-related Adverse Experience","https://ClinicalTrials.gov/show/NCT00312858"
864,"NCT01462981","Cohort of Hepatitis B Research of Amsterdam","Recruiting","No Results Available","Hepatitis B","","Public Health Service of Amsterdam|UMC Utrecht","Female","Adult","","172","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","COBRA","October 28, 2011","September 2011","July 2012","November 1, 2011","November 2011","No Study Results Posted","COBRA","null","","https://ClinicalTrials.gov/show/NCT01462981"
865,"NCT01655121","Effect of High-protein High-fiber Diet in Patients With Autoimmune Hepatitis","Completed","No Results Available","Autoimmune Hepatitis|Cirrhosis","Dietary Supplement: High protein high fiber diet","Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran","Both","Adult|Senior","","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Supportive Care|Masking: Open Label","GAS-501-11/12-1","July 12, 2012","January 2012","July 2014","August 18, 2014","August 2014","No Study Results Posted","null","July 2014","Nutritional Status|Minimal hepatic encephalopathy|Quality of life","https://ClinicalTrials.gov/show/NCT01655121"
866,"NCT00412750","Efficacy and Safety of Telbivudine in Treatment naïve Patients With Hepatitis B e Antigen (HBeAg)-Positive Chronic Hepatitis B (CHB)","Terminated","Has Results","Hepatitis B","Drug: Telbivudine (LdT)|Drug: peginterferon alpha-2a","Novartis","Both","Adult|Senior","Phase 3","159","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","CLDT600A2406","December 15, 2006","December 2006","February 2009","June 14, 2011","June 2011","December 2, 2010","null","February 2009","Percentage of Participants Who Achieved HBV DNA Non-detectability With Peginterferon Alpha-2a Plus Telbivudine Combination Therapy Versus Peginterferon Alpha-2a Monotherapy|Percentage of Participants With HBV DNA Non-detectability and Alanine Aminotransferase (ALT) Normalization at Week 12 and Week 24 in Participants With HBeAg-positive Chronic Hepatitis B (CHB)|Change From Baseline in HBV DNA Concentration|Percentage of Participants Who Experienced Virologic Breakthrough at Weeks 48 and 52|Percentage of Participants With Hepatitis B 'e' Antigen (HBeAg) Loss and HBeAg Seroconversion|Percentage of Participants Who Achieved HBV DNA Non-detectability With Telbivudine Monotherapy Versus Peginterferon Alpha-2a Monotherapy|Percentage of Participants Who Achieved HBV DNA Non-detectability With Peginterferon Alpha-2a Plus Telbivudine Combination Therapy Versus Telbivudine Monotherapy","https://ClinicalTrials.gov/show/NCT00412750"
867,"NCT02402218","CHAMPS Study: Chronic HepAtitis C Management to ImProve OutcomeS","Enrolling by invitation","No Results Available","Hepatitis C|Human Immunodeficiency Virus","Other: Usual care plus peer-mentors|Other: Usual care plus incentives|Other: Usual Care","Johns Hopkins University|National Institute on Drug Abuse (NIDA)|National Institutes of Health (NIH)","Both","Adult|Senior","Phase 4","164","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","IRB00055591|5R01DA016065-12","March 18, 2015","March 2015","March 2018","March 24, 2015","March 2015","No Study Results Posted","CHAMPS","March 2018","Proportion of coinfected IDUs who initiate HCV therapy|To compare and evaluate adherence behavior|To compare and evaluate adverse events both related and unrelated to treatment|To compare and evaluate the antiviral efficacy of UC, IC, and PMC|Patient reported depression|Explore the interaction of liver stiffness and HCV treatment|Alcohol intake during HCV treatment|Assess for re-infection post-treatment in patients who achieve treatment-related sustained virologic response.|Patient reported fatigue|Patient reported quality of life|Patient reported provider-patient communication|Patient reported emotional support|Drug intake during HCV treatment|Patient reported alcohol use|Patient reported drug use","https://ClinicalTrials.gov/show/NCT02402218"
868,"NCT00838214","Budesonide 3x3mg/d Versus Prednisone in Active Autoimmune Hepatitis","Completed","No Results Available","Autoimmune Hepatitis","Drug: budesonide|Drug: prednisone","Dr. Falk Pharma GmbH","Both","Child|Adult|Senior","Phase 2|Phase 3","208","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)","BUC-38/AIH","February 5, 2009","March 2001","December 2008","February 5, 2009","February 2009","No Study Results Posted","null","December 2008","Biochemical remission (=serum levels of ASAT and ALAT within normal ranges) at the individual last visit of Segment A and lack of steroid specific side effects|incidence of biochemical remission","https://ClinicalTrials.gov/show/NCT00838214"
869,"NCT00059267","Prevention of Recurrent Hepatitis B After Liver Transplantation","Completed","No Results Available","Hepatitis B|Cirrhosis|Acute Liver Failure|Hepatocellular Carcinoma","Drug: HBIG, Epivir, Hepsera","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","Both","Child|Adult|Senior","","500","NIH","Observational","","NIH HBV-OLT (completed)","April 22, 2003","June 2001","null","January 12, 2010","January 2010","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00059267"
870,"NCT00674492","Hepatitis C Virus (HCV) Treatment Completion or Withdrawal","Completed","Has Results","Hepatitis C","","VA Office of Research and Development","Both","Adult|Senior","","21","U.S. Fed","Observational","Time Perspective: Retrospective","SHP 08-193","May 6, 2008","May 2008","August 2008","April 27, 2015","April 2015","February 5, 2015","null","August 2008","Attributes of Treatment Experience","https://ClinicalTrials.gov/show/NCT00674492"
871,"NCT00289913","Concomitant Use of Hepatitis A Vaccine, Inactivated With Haemophilus b Conjugate Vaccine (Meningococcal Protein Conjugate) and Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed Given to Healthy Children 15 Months of Age (V251-068)","Completed","Has Results","Hepatitis A Virus","Biological: Comparator: VAQTA™|Biological: Comparator: Infanrix™|Biological: Comparator: PedvaxHIB™","Merck Sharp & Dohme Corp.","Both","Child","Phase 4","1274","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label","V251-068|2005_076","February 8, 2006","April 2006","June 2010","September 7, 2015","September 2015","June 9, 2011","null","June 2010","Seropositivity Rate (SPR) to Hepatitis A|Antibody Response Rate to Haemophilus Influenzae Type b (Hib)|Number of Participants With Adverse Events (AE)|Geometric Mean Titers (GMTs) to Antibodies for the Pertussis Toxin (PT), Pertussis Filamentous Hemagglutinin Antibody (FHA), and Pertactin (PRN) Components of Infanrix™","https://ClinicalTrials.gov/show/NCT00289913"
872,"NCT00030030","Evaluating Silymarin for Chronic Hepatitis C","Completed","No Results Available","Hepatitis C, Chronic","Drug: Silymarin (milk thistle)","National Center for Complementary and Integrative Health (NCCIH)|Office of Dietary Supplements (ODS)","null","Child|Adult|Senior","Phase 2","null","NIH","Interventional","Allocation: Randomized|Primary Purpose: Prevention|Masking: Double-Blind","R21 AT000277-01","January 30, 2002","July 2000","June 2002","August 17, 2006","July 2006","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00030030"
873,"NCT00843076","Impact of Hepatitis C Virus Variability on Steatosis","Terminated","No Results Available","Chronic Hepatitis C","","University Hospital, Tours","Both","Adult|Senior","","27","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","AORT08-PR/VIRO-Stéatose","February 12, 2009","January 2009","April 2011","November 8, 2013","November 2013","No Study Results Posted","Viro-steatosis","April 2011","","https://ClinicalTrials.gov/show/NCT00843076"
874,"NCT00047814","Study of FK788 in Subjects With Chronic Hepatitis C Virus Infection","Completed","No Results Available","Hepatitis C","Drug: FK788","Astellas Pharma Inc|Astellas Pharma US, Inc.","Both","Adult","Phase 2","48","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Crossover Assignment|Primary Purpose: Treatment|Masking: Double-Blind","FA-788-0004","October 18, 2002","October 2002","March 2006","December 8, 2011","December 2011","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00047814"
875,"NCT01610115","HBV DNA Levels During Pregnancy in Chronic Hepatitis B","Recruiting","No Results Available","Hepatitis B|Pregnancy","","Chang Gung Memorial Hospital","Female","Adult","","100","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","HBV-P-01","May 30, 2012","January 2012","December 2014","May 30, 2012","May 2012","No Study Results Posted","null","December 2013","","https://ClinicalTrials.gov/show/NCT01610115"
876,"NCT00230061","Hepatitis B Vaccination in HIV-infected Persons","Completed","No Results Available","HIV Infections|Hepatitis B","Biological: HBVAXPRO, Hepatitis B (Recombinant) vaccine, 10 mcg/ml","Erasmus Medical Center|Stichting Nuts Ohra","Both","Adult|Senior","Phase 4","800","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label","SNO-T-07-102","September 28, 2005","April 2004","February 2010","June 1, 2010","June 2010","No Study Results Posted","null","May 2008","Measurement of anti-Hbs titer after completing hepatitis B vaccination.|To compare response and compliance between two vaccination schedules: short and standard","https://ClinicalTrials.gov/show/NCT00230061"
877,"NCT01251276","Hepatitis B Challenge Dose in Adults","Completed","No Results Available","Hepatitis B","Biological: 1 dose at Day 1","Sanofi Pasteur MSD","Both","Adult|Senior","Phase 3","204","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label","rHB01C","November 23, 2010","November 2010","June 2011","October 10, 2011","October 2011","No Study Results Posted","null","June 2011","Pre-challenge anti HBs seroprotection rate (percentage of subjects with titre >=10 mIU/mL)|Post-challenge anti HBs seroprotection rate (percentage of subjects with titre >=10 mIU/mL)|Injection-site reactions, systemic injection site reactions, adverse events and serious adverse events","https://ClinicalTrials.gov/show/NCT01251276"
878,"NCT02044055","Mother-to-child Hepatitis D Transmission","Recruiting","No Results Available","Hepatitis D|Transmission","","Hopital Lariboisière","Both","Child","","40","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","Liver004","January 18, 2014","October 2014","July 2016","September 30, 2015","September 2015","No Study Results Posted","null","July 2016","Hepatitis D antibodies (Ab) in children|HDV RNA in children with positive HDV Ab","https://ClinicalTrials.gov/show/NCT02044055"
879,"NCT00633243","Effective Treatment of Hepatitis C in Substance Users","Completed","Has Results","Hepatitis C|Opiate Dependence","Procedure: Modified Directly Observed Therapy (mDOT)|Procedure: Self-Administered Therapy (SAT)","Yale University|National Institute on Drug Abuse (NIDA)","Both","Adult|Senior","","21","Other|NIH","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Health Services Research|Masking: Open Label","0702002306|NIDA 022143","February 29, 2008","April 2007","September 2011","January 1, 2013","January 2013","October 19, 2012","null","September 2011","Number of Participants With a Sustained Virologic Response (SVR)","https://ClinicalTrials.gov/show/NCT00633243"
880,"NCT00155155","Studies of Immune Responses in Patients With Chronic Hepatitis B","Completed","No Results Available","Hepatitis B","","National Taiwan University Hospital","Both","Child|Adult|Senior","Phase 1","100","Other","Observational","Time Perspective: Prospective","9361701122|NSC 94-3112-B-002-030","September 9, 2005","May 2005","null","December 1, 2008","November 2008","No Study Results Posted","null","April 2008","","https://ClinicalTrials.gov/show/NCT00155155"
881,"NCT01766115","Hepatitis C Virus Post-Exposure Prophylaxis for Health Care Workers","Withdrawn","No Results Available","Viral Hepatitis C","Drug: Telaprevir","Massachusetts General Hospital","Both","Adult|Senior","Phase 4","0","Other","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label","2012P000954","January 7, 2013","April 2013","May 2014","August 12, 2014","August 2014","No Study Results Posted","null","May 2014","Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Election rate of study drug|Rate of HCV infection","https://ClinicalTrials.gov/show/NCT01766115"
882,"NCT01821547","New Methods to Measure the Immune Response to Hepatitis B Vaccine","Recruiting","No Results Available","Hepatitis B","Drug: Hepatitis B vaccine","University of Oxford","Both","Adult","Phase 4","16","Other","Interventional","Intervention Model: Single Group Assignment|Primary Purpose: Basic Science|Masking: Open Label","OVG 2012/09","March 18, 2013","March 2013","null","March 26, 2013","March 2013","No Study Results Posted","null","November 2013","Part 2- To assess B cell VH/L gene segment usage by HepB specific B cells during and following administration of a three dose course of HepB vaccine given at 0,1, 2 or 0, 1, 6 months.|Part 1- To validate B cell assays and assess the kinetics of HepB specific B cell subsets following administration of a booster dose of HepB vaccine given to previously immunised healthy adults.|Part 1 • To measure HepB surface antigen-specific antibody concentration following administration of a booster dose of HepB vaccine given to previously immunised healthy adults|Part 1 • To assess B-cell receptor VH/L gene sequences used in HepB specific and non-antigen specific B-cells prior to and following administration of a booster dose of HepB vaccine given to previously immunised healthy adults|Part 1 • Comparison of B cell receptor VH/L gene segment usage as determined by two different next-generation sequencing methods (RNA-sequencing and 454).|Part 1 • Collection of mRNA for subsequent gene expression analysis|Part 2 • To measure HepB specific plasma and memory B cell frequencies during and following administration of a three dose course of HepB vaccine given at 0, 1, 2 or 0, 1, 6 months.|Part 2 • To measure HepB surface antigen-specific antibody concentration during and following administration of a three dose course of HepB vaccine given at 0,1, 2 or 0, 1, 6 months.","https://ClinicalTrials.gov/show/NCT01821547"
883,"NCT02511743","Knowledge and Practice of Chinese Medical Specialists Regarding Chronic Hepatitis B Virus Infection","Recruiting","No Results Available","Hepatitis B","Other: physicians","Peking University First Hospital","Both","Adult|Senior","","3000","Other","Observational","Time Perspective: Prospective","2015[888]","May 4, 2015","April 2015","November 2015","July 29, 2015","July 2015","No Study Results Posted","null","August 2015","30-item self-administered questionnaire assessing physicians' knowledge and behavior regarding chronic Hepatitis B Virus infection.","https://ClinicalTrials.gov/show/NCT02511743"
884,"NCT02548325","Prevalence of Hepatitis B in Vallés Occidental. Observational Multicentric Study","Recruiting","No Results Available","Hepatitis B","Other: Not apply","Corporacion Parc Tauli|Hospital Mutua de Terrassa|Consorci Sanitari de Terrassa","Both","Adult|Senior","","450","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","CorporacionPT","September 8, 2015","July 2015","December 2015","September 10, 2015","September 2015","No Study Results Posted","null","December 2015","prevalence hepatitis B|stage of the disease and if they are in treatment or not","https://ClinicalTrials.gov/show/NCT02548325"
885,"NCT00930995","Angiotensin Receptor Blockade as an Anti-Fibrotic Intervention in Patients With Chronic Hepatitis C","Withdrawn","No Results Available","Hepatitis C","Drug: Candesartan|Drug: Placebo","Kaiser Permanente|University of California, Davis","Both","Adult","Phase 2","0","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)","CN-05SBala-01-B","July 1, 2009","null","null","April 23, 2012","April 2012","No Study Results Posted","null","null","Primary: • Stellate cell activity by alpha SMA stain quantitated by morphometry|• Hepatic fibrosis by morphometry|Surrogate markers for fibrosis (liver TGF-beta levels, serum procollagen-III peptide levels)|Functional status- Albumin, INR, T. Bilirubin, MELD score","https://ClinicalTrials.gov/show/NCT00930995"
886,"NCT00010816","Herbal Treatment of Hepatitis C in Methadone Maintained Patients","Completed","No Results Available","Hepatitis C","Drug: Herbal remedies","National Center for Complementary and Integrative Health (NCCIH)","Both","Adult|Senior","Phase 2","null","NIH","Interventional","Allocation: Randomized|Primary Purpose: Treatment|Masking: Double-Blind","P50 AT000009-02P3|P50 AT000009-02|P50 AT000009-03","February 2, 2001","September 1998","June 2003","August 17, 2006","August 2006","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00010816"
887,"NCT00343525","Repeat-Dose Study of Bavituximab in Patients With Chronic Hepatitis C","Completed","No Results Available","Hepatitis C","Drug: bavituximab","Peregrine Pharmaceuticals","Both","Adult|Senior","Phase 1","24","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","PPHM 0601","June 21, 2006","May 2006","null","April 28, 2008","April 2008","No Study Results Posted","null","January 2007","adverse events|laboratory evaluations|human anti-chimeric antibody|pharmacokinetic analysis|viral kinetic analysis|cytokine analysis","https://ClinicalTrials.gov/show/NCT00343525"
888,"NCT02344498","Treatment of Hepatitis B in Resource-limited Settings - a Pilot Program in East Africa","Recruiting","No Results Available","Hepatitis B","Drug: Tenofovir disoproxil","Oslo University Hospital|Addis Ababa University|The Research Council of Norway|University of Agder, Norway|South-Eastern Norway Regional Health Authority, Norway|St Paul Hospital Millennium Medical College, Ethiopia|Haramaya University,Ethiopia","Both","Adult|Senior","","2000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2014/1146","January 16, 2015","January 2015","December 2017","October 14, 2015","October 2015","No Study Results Posted","null","December 2017","Death, HCC or decompensated cirrhosis|Viral suppression and genotypic resistance|Regression of liver inflammation/fibrosis|Adherence to therapy","https://ClinicalTrials.gov/show/NCT02344498"
889,"NCT01647191","Reducing Hepatitis C Virus (HCV)/Human Immunodeficient Virus (HIV) Risk Behaviors Among Injection Drug Users in China","Active, not recruiting","No Results Available","Hepatitis C","Behavioral: intervention group|Behavioral: control group","Shanghai Mental Health Center","Both","Adult|Senior","","340","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label","JDu-001","April 17, 2012","July 2011","May 2015","July 18, 2012","July 2012","No Study Results Posted","null","May 2015","Knowledge、Risk Behaviors and some other aspects related to HCV/HIV will be measured among IDUs in MMT|The barriers will be measured.|The ways will be measured.","https://ClinicalTrials.gov/show/NCT01647191"
890,"NCT00096811","Entecavir for Subjects With Chronic Hepatitis B Infection: An Early Access Program","No longer available","No Results Available","Hepatitis B|Chronic Disease","Drug: Entecavir","Bristol-Myers Squibb","Both","Child|Adult|Senior","","null","Industry","Expanded Access","","AI463-900","November 15, 2004","September 2003","August 2008","May 7, 2010","May 2010","No Study Results Posted","null","August 2008","","https://ClinicalTrials.gov/show/NCT00096811"
891,"NCT00164073","Pharmacogenomics of Interferon and Ribavirin Treatment in Patients With Chronic Hepatitis C Virus Infection","Recruiting","No Results Available","Hepatitis C","Procedure: Liver biopsy","Bayside Health|University of Adelaide","Both","Adult|Senior","","60","Other","Observational","Observational Model: Defined Population|Observational Model: Natural History|Time Perspective: Longitudinal|Time Perspective: Prospective","122/03","September 13, 2005","February 2004","February 2007","July 31, 2007","September 2005","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00164073"
892,"NCT02558114","Ribavirin for Severe Acute and Chronic Hepatitis E Virus Infection.","Not yet recruiting","No Results Available","Hepatitis E","Drug: Ribavirin","Hospital Universitari Vall d'Hebron Research Institute","Both","Adult|Senior","Phase 4","56","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","RACHE","September 18, 2015","December 2015","October 2018","September 22, 2015","September 2015","No Study Results Posted","null","June 2018","Sustained virological response measured by HEV RNA","https://ClinicalTrials.gov/show/NCT02558114"
893,"NCT01470651","Armodafinil for Patients Starting Hepatitis C Virus Treatment","Terminated","No Results Available","Hepatitis C","Drug: Armodafinil|Drug: Placebo Comparator","Research Foundation for Mental Hygiene, Inc.|Icahn School of Medicine at Mount Sinai|Weill Medical College of Cornell University","Both","Adult|Senior","Phase 4","26","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)","C10953/6285","October 13, 2011","October 2011","June 2014","May 4, 2015","May 2015","No Study Results Posted","null","June 2014","Adherence to Medications Form|Fatigue Severity Scale (FSS)","https://ClinicalTrials.gov/show/NCT01470651"
894,"NCT02288208","Phase I Safety and Tolerability Study of Birinapant in Chronic Hepatitis B","Terminated","No Results Available","Hepatitis B","Drug: Antiviral Therapy (tenofovir or entecavir)|Drug: Birinapant|Drug: Placebo (for birinapant)","TetraLogic Pharmaceuticals","Both","Adult|Senior","Phase 1","7","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)","TL32711-POC-0095-PTL","November 3, 2014","November 2014","May 2015","October 8, 2015","October 2015","No Study Results Posted","null","May 2015","Number of participants with adverse events|Pharmacokinetics of birinapant (in plasma): maximum concentration (Cmax), time of maximum concentration (Tmax), area under the curve (AUC) extrapolated to time infinity, AUC from dosing to last quantifiable concentration|Pharmacokinetics of birinapant (in plasma): terminal elimination half-life (t1/2), clearance (CL), terminal disposition rate constant,volume of distribution (Vdss)|Pharmacokinetics of oral antiviral medication (tenofovir or entecavir): Cmax, Tmax, AUC from dosing to last quantifiable concentration, t1/2, CL, terminal disposition rate constant, Vdss|Hepatitis B markers (Determine levels of HBsAg, HBeAg, HBV DNA, and HBsAb)|Pharmacodynamic effect of birinapant on cIAP1 and cIAP2 levels in peripheral blood mononuclear cells (PBMC) and levels of cluster of differentiation 4 and 8 (CD4+, CD+8) lymphocytes","https://ClinicalTrials.gov/show/NCT02288208"
895,"NCT00251199","VX-950 and Peginterferon for Hepatitis C","Completed","No Results Available","Hepatitis C","Drug: VX-950|Drug: peginterferon","Vertex Pharmaceuticals Incorporated","Both","Adult","Phase 1","20","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double-Blind","VX05-950-103","November 7, 2005","October 2005","March 2006","December 17, 2007","December 2007","No Study Results Posted","null","null","Viral kinetics|Assess the safety of VX-950 in combination with peginterferon","https://ClinicalTrials.gov/show/NCT00251199"
896,"NCT00925990","CTS-1027 in Interferon-Naive Hepatitis C Patients","Completed","Has Results","Hepatitis C","Drug: ribavirin|Drug: CTS-1027|Drug: Placebo for ribavirin","Conatus Pharmaceuticals Inc.","Both","Adult|Senior","Phase 2","70","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)","CTS-1027-03","June 19, 2009","June 2009","July 2010","February 27, 2012","February 2012","February 9, 2012","null","May 2010","Mean Change in HCV-RNA (Hepatitis C Virus Ribonucleic Acid) Levels From Baseline Through 24 Weeks of Treatment|Mean Change in Aminotransferases From Baseline to 24 Weeks of Treatment","https://ClinicalTrials.gov/show/NCT00925990"
897,"NCT00277758","Safety Study of Low Dose Interleukin 2 (IL-2) Plus PEG-IFN/RBV In Chronic Hepatitis C Virus Genotype I","Terminated","No Results Available","Hepatitis C","Biological: Interleukin 2|Drug: Ribavirin|Biological: Pegylated Interferon Alpha|Biological: Inteleukin-2|Drug: Ribavirin + Pegylated interferon-alpha","Weill Medical College of Cornell University|National Institute of Allergy and Infectious Diseases (NIAID)","Both","Adult","Phase 1","18","Other|NIH","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","00-092|UO1 AI48224","January 12, 2006","March 2004","August 2006","March 6, 2008","March 2008","No Study Results Posted","null","July 2006","Determination of the safety and tolerability of 12 weeks IL2 monotherapy followed by 48 weeks of IL2 combined with PEG-IFN/RBV|Determination of specific immunologic responses to HCV. Immunologic assessment will be performed as the sme time intervals as the assays for plasma virus.","https://ClinicalTrials.gov/show/NCT00277758"
898,"NCT01810835","Prevention of Hepatitis B Virus Mother-to-child Transmission by Serovaccination.","Completed","No Results Available","Hepatitis B","","Hopital Lariboisière","Female","Adult","","28","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","URT-Liver-001","March 12, 2013","November 2011","November 2013","December 5, 2013","December 2013","No Study Results Posted","null","November 2013","Rate of HBsAg positivity in infants at 9 months, despite a correct immunization at birth","https://ClinicalTrials.gov/show/NCT01810835"
